key_resp_wel.keys,key_resp_wel.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,date,expName,frameRate,
space,2.1797571353708918,,,,,001,2018_Oct_14_1938,1,59.66586458756633,
,,e,0,2.743718893309051,,001,2018_Oct_14_1938,1,59.66586458756633,
