key_resp_wel.keys,key_resp_wel.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,date,expName,frameRate,
space,1.2459188503235055,,,,,001,2018_Oct_14_1901,1,59.78581869968677,
,,e,0,2.3546416436638538,,001,2018_Oct_14_1901,1,59.78581869968677,
