key_resp_wel.keys,key_resp_wel.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,date,expName,frameRate,
space,1.9771727292263677,,,,,001,2018_Oct_14_1901,1,59.95417642451983,
,,e,0,1.8357953049871867,,001,2018_Oct_14_1901,1,59.95417642451983,
